"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.426120333E0,-5.619218681E0,1.301253755E1,5.955347627E0,1.537426153E1
1.436071333E0,-7.376988770E0,1.222998013E1,6.630156659E0,1.574647118E1
1.446022333E0,-9.442049922E0,1.103934318E1,6.971805376E0,1.611289778E1
1.455973333E0,-1.162658255E1,9.537193476E0,7.010092945E0,1.659147023E1
1.465924333E0,-1.351560041E1,8.048768359E0,6.683296155E0,1.709153516E1
1.475875333E0,-1.457051998E1,6.852694670E0,5.853926502E0,1.713265689E1
1.485827333E0,-1.447644997E1,6.060339646E0,4.724671869E0,1.638956512E1
1.495778333E0,-1.323723319E1,5.656937900E0,3.708741539E0,1.486539783E1
1.505729333E0,-1.120743075E1,5.470459667E0,3.076254069E0,1.284506800E1
1.515680333E0,-9.097684588E0,5.209759219E0,3.101207646E0,1.093283791E1
1.525631333E0,-7.084854859E0,4.966003416E0,3.266688527E0,9.248113983E0
1.535582333E0,-4.995344744E0,4.709200137E0,3.110585411E0,7.536960703E0
1.545533333E0,-3.211055194E0,4.354842496E0,2.795404699E0,6.090140889E0
1.555484333E0,-2.153731254E0,4.753527001E0,2.767087219E0,5.906889955E0
1.565436333E0,-1.230136060E0,5.906230431E0,3.503135895E0,6.976299429E0
1.575387333E0,-9.534469843E-3,7.204909891E0,5.063344939E0,8.806150090E0
1.585338333E0,2.127709975E0,9.221909854E0,7.413637948E0,1.202217945E1
1.595289333E0,7.433146598E0,1.189290685E1,9.668719575E0,1.703458365E1
1.605240333E0,1.581554188E1,1.370993380E1,1.062580002E1,2.347341636E1
1.615191333E0,2.313828837E1,1.417868402E1,1.015287956E1,2.897406483E1
1.625142333E0,2.691395948E1,1.330305646E1,7.540975102E0,3.095478689E1
1.635093333E0,2.785402803E1,1.173183477E1,3.148511036E0,3.038743073E1
1.645045333E0,2.808437792E1,9.624510532E0,-1.283705180E0,2.971550749E1
1.654996333E0,2.845079252E1,6.878117194E0,-4.731556381E0,2.965035779E1
1.664947333E0,2.812136507E1,3.278518614E0,-7.337447559E0,2.924718780E1
1.674898333E0,2.567521281E1,-6.804638743E-1,-8.945777434E0,2.719754617E1
1.684849333E0,2.134948243E1,-4.301716449E0,-9.514832554E0,2.376630394E1
1.694800333E0,1.687128590E1,-7.634384372E0,-9.065155942E0,2.061798159E1
1.704751333E0,1.314844673E1,-1.053241180E1,-7.343654378E0,1.837777487E1
1.714702333E0,1.008733110E1,-1.295769535E1,-4.712348862E0,1.708397932E1
1.724654333E0,7.191562452E0,-1.470803480E1,-2.452701729E0,1.655477586E1
1.734605333E0,4.599558411E0,-1.577024350E1,-1.307732120E0,1.647928035E1
1.744556333E0,2.499634990E0,-1.641025985E1,-1.171251674E0,1.664081229E1
1.754507333E0,8.814344305E-1,-1.687767925E1,-1.785386488E0,1.699472237E1
1.764458333E0,-4.899396613E-1,-1.705824361E1,-2.854203131E0,1.730231751E1
1.774409333E0,-1.630120986E0,-1.702615292E1,-3.873854045E0,1.753721536E1
1.784360333E0,-2.419420839E0,-1.687931881E1,-4.436546810E0,1.761953314E1
1.794311333E0,-2.801553339E0,-1.671627972E1,-4.461657677E0,1.752681084E1
1.804263333E0,-2.766311586E0,-1.656222898E1,-4.076217408E0,1.727933613E1
1.814214333E0,-2.397647855E0,-1.650458713E1,-3.504090160E0,1.704197052E1
1.824165333E0,-1.971370338E0,-1.657455023E1,-2.893494666E0,1.694031664E1
1.834116333E0,-1.730291976E0,-1.670678151E1,-2.369862471E0,1.696250886E1
1.844067333E0,-1.753270949E0,-1.676918767E1,-1.940942305E0,1.697194365E1
1.854018333E0,-1.817029865E0,-1.667457972E1,-1.509091516E0,1.684103808E1
1.863969333E0,-1.834617121E0,-1.657379711E1,-9.302241826E-1,1.670095469E1
1.873920333E0,-1.782296235E0,-1.650175941E1,-3.819746250E-1,1.660212481E1
1.883872333E0,-1.702381754E0,-1.634508678E1,-6.883460124E-2,1.643364548E1
1.893823333E0,-1.825499557E0,-1.632667974E1,-2.441370410E-1,1.643023198E1
1.903774333E0,-2.499235041E0,-1.658320294E1,-1.108650214E0,1.680707889E1
1.913725333E0,-3.491434739E0,-1.701289494E1,-2.364152665E0,1.752763329E1
1.923676333E0,-4.332443859E0,-1.760864903E1,-3.601514128E0,1.848798244E1
1.933627333E0,-4.766239725E0,-1.791920869E1,-4.603062063E0,1.910505853E1
1.943578333E0,-4.215222388E0,-1.750183560E1,-4.712984455E0,1.860899169E1
1.953529333E0,-1.390848536E0,-1.635647131E1,-3.471198403E0,1.677849313E1
1.963481333E0,4.849683586E0,-1.478271777E1,-1.634851091E0,1.564355822E1
1.973432333E0,1.335078144E1,-1.246205378E1,4.707300961E-1,1.826931132E1
1.983383333E0,2.153116945E1,-8.613046889E0,3.030678531E0,2.338719408E1
1.993334333E0,2.678641299E1,-2.925176634E0,5.969474500E0,2.759897109E1
2.003285333E0,3.038513800E1,3.553358214E0,9.385438349E0,3.199952217E1
2.013236333E0,3.405416291E1,9.538668144E0,1.285225368E1,3.762781718E1
