t,x_acc,y_acc,z_acc,x_rot,y_rot,z_rot,move_type
3.755049792,14.03466476,-8.072862396,-4.473148041,2.801708698,0.917198658,-5.152050495,0
3.765002792,14.21384216,-9.044342194,-5.227579193,2.469532251,0.7117828727,-4.747032166,0
3.774954792,14.62219299,-10.04321503,-5.800437927,2.034582376,0.5649734735,-4.374987602,0
3.784906792,14.87247253,-11.0534642,-5.859415283,1.553545833,0.4047389925,-4.040833473,0
3.794858792,14.62623459,-12.19499039,-5.422922974,1.111801147,0.2143850327,-3.745040655,0
3.804811792,13.90129211,-13.12710205,-4.52359314,0.7999239564,0.0242492184,-3.400434256,0
3.814763792,12.36638397,-14.08525955,-3.256777496,0.6324601173,-0.1412910074,-2.913238049,0
3.824715792,10.05998016,-15.41748917,-2.015109558,0.6127871871,-0.3302380145,-2.288434267,0
3.834668792,7.194039917,-16.74328217,-1.111139374,0.6611731052,-0.6286806464,-1.39010644,0
3.844620792,3.307072906,-17.23875183,-0.6014492798,0.7273415923,-0.9427480698,-0.03666959703,0
3.854572792,-1.327439575,-16.75944855,-0.230969696,0.7800873518,-1.131372333,1.77503252,0
3.864524792,-5.821394348,-15.50954773,0.273331604,0.8056459427,-1.129421949,3.824071407,0
3.874477792,-7.801476746,-13.9453006,0.7870632935,0.7305469513,-0.9332512021,5.781565189,0
3.884429792,-6.199957123,-12.59286301,0.6562353516,0.5362930298,-0.5993492007,7.394792557,0
3.894381792,-1.653910675,-11.01649109,-0.07334747314,0.3683036864,-0.281878829,8.500662804,0
3.904333792,4.088747406,-8.918154602,-0.7327262878,0.3079606593,-0.2479808331,9.142552376,0
3.914286792,9.606123962,-5.989345093,-1.066232758,0.2804683149,-0.4657360613,9.419095993,0
3.924238792,14.0195462,-2.875819702,-1.364861755,0.2455896884,-0.7403467894,9.591233253,0
3.934190792,17.24488907,-0.5397775269,-1.851799164,0.09652671218,-0.6942983866,9.895310402,0
3.944142792,19.44935486,2.329904938,-2.555336151,-0.3319011927,-0.2292036265,10.30273342,0
3.954095792,21.85964264,7.006180573,-3.753893738,-1.01037395,0.4340949655,10.55156803,0
3.964047792,24.83844818,12.81305511,-4.840484161,-1.608604908,0.6434280872,10.30178738,0
3.973999792,28.60491577,20.38520874,-4.517306213,-1.593904972,0.4701313674,9.153276443,0
3.983952792,32.64546341,27.92278427,-1.383722534,-0.9886342287,0.2420444041,7.335920811,0
3.993904792,33.16832611,32.93556015,1.85808609,-0.3736429811,-0.1449411362,6.065900326,0
4.003856792,25.42807205,35.58100891,2.357297974,-0.1768894345,-0.528557241,5.437845707,0
4.013808792,16.64014664,36.91024475,1.005010071,-0.3128230274,-0.4559139311,4.696387768,0
4.023760792,13.50356918,36.23784302,-0.03382965088,-0.581653893,-0.1327828467,3.985944748,0
4.033713792,11.50312912,35.44598969,-0.6403683472,-0.81138587,0.02293962985,3.288005352,0
4.043665792,9.247320099,36.50039703,-0.6212081909,-1.155208707,0.004386184737,2.327253342,0
4.053617792,8.927435303,37.51902878,-1.287772064,-1.616629243,-0.06221494824,0.9251060486,0
4.063570792,10.02300705,36.55218933,-2.803969116,-1.704090476,-0.2255685627,-0.6504771709,0
4.073522792,9.312285004,33.31696701,-1.727258148,-1.266816258,-0.5059937835,-1.940926909,0
4.083474792,5.510939941,28.36676102,1.191671906,-0.6811252832,-0.7785269618,-2.675979137,0
4.093426792,0.3995191956,23.22660004,2.177222443,-0.2898259759,-0.9408069253,-2.912563324,0
4.103379792,-3.606749725,19.49575836,1.408870239,-0.2125027776,-0.9159633517,-2.871326923,0
4.113331792,-4.778812408,17.87702454,0.09550140381,-0.4287922084,-0.6951926351,-2.830941677,0
4.123283792,-3.077450409,18.60226639,-1.107097778,-0.8326083422,-0.4823470414,-3.227048159,0
4.133235792,1.705104218,19.67598358,-2.067799988,-1.281881452,-0.3053048849,-4.016330719,0
4.143188792,6.831643524,19.11854279,-2.893482971,-1.720475554,-0.1785079241,-4.80827713,0
4.153140792,9.002279663,18.0274617,-3.104095001,-2.009079456,-0.03989278525,-5.371605873,0
4.163092792,9.327553253,16.34451141,-2.321522369,-2.00726366,0.1724551618,-5.588724613,0
4.173044792,8.665779419,14.86588623,-0.5348377991,-1.70135057,0.3681668937,-5.625846863,0
4.182997792,8.537945251,14.12612457,1.48715744,-1.203513026,0.5676203966,-5.818603039,0
4.192949792,10.43704605,13.15494415,2.678679657,-0.6067316532,0.8276264071,-6.115240574,0
4.202901792,12.05592957,11.84621567,2.749931488,-0.05805089697,1.018384695,-6.323246479,0
4.212853792,12.79838562,11.33697464,2.270478516,0.3580419123,1.186458945,-6.547208786,0
4.222806792,14.20905212,10.42267593,1.293160858,0.6565828323,1.384208083,-6.87815237,0
4.232758792,15.51299057,8.016729126,-0.1552272034,0.874866426,1.526312232,-7.073582172,0
4.242710792,14.79882568,5.146447906,-1.647923126,1.01810348,1.518558621,-6.928666592,0
4.252662792,12.33509903,2.72044281,-2.496508484,1.055718541,1.416423798,-6.493070602,0
4.262615792,9.592651978,0.4032614136,-2.962339783,1.068459392,1.357163429,-5.777142525,0
4.272567792,7.044201508,-1.529219971,-3.29494812,1.207962394,1.367864609,-4.825123787,0
4.282519792,5.088967438,-3.405119019,-3.294349365,1.509423018,1.374742031,-3.684891224,0
4.292472792,3.450025635,-5.497767334,-3.170556793,1.885979295,1.30361557,-2.372380733,0
4.302424792,1.982926483,-6.966213684,-3.573219452,2.219305277,1.160384893,-0.9882853627,0
4.312376792,1.311273193,-7.441175995,-4.446204071,2.333453655,0.9662851691,0.2699714005,0
4.322328792,1.885479126,-7.358547821,-5.856870575,2.120630741,0.7903459072,1.297910333,0
4.332281792,3.218008118,-7.389533386,-7.811206512,1.586074591,0.6305895448,2.06132865,0
4.342233792,4.941074982,-7.590565338,-9.574090576,0.7821050882,0.5051474571,2.566632509,0
4.352185792,6.264772339,-7.733368378,-11.02756805,-0.1886013895,0.4055527151,3.007728815,0
4.362137792,6.226901093,-7.770341492,-11.69607788,-1.127153397,0.2571295798,3.590977907,0
4.372090792,4.836741943,-7.643255768,-11.05451202,-1.831840038,0.01507542655,4.347421646,0
4.382042792,3.586092682,-7.616611176,-9.294172668,-2.261723518,-0.2242088765,5.099347591,0
4.391994792,3.649111633,-7.895630951,-7.413184204,-2.429298639,-0.4393512607,5.726476192,0
4.401946792,4.811743927,-7.835007019,-5.624104614,-2.349072933,-0.6235283613,6.148447037,0
4.411899792,6.651118927,-7.214996338,-3.992497559,-2.094639063,-0.7733857632,6.334114075,0
4.421851792,8.695118408,-6.159690857,-2.711760864,-1.716558218,-0.9030057192,6.270901203,0
4.431803792,10.45276337,-4.661456451,-1.803898773,-1.252242565,-1.006052732,5.975125313,0
4.441756792,11.63590302,-3.092119904,-1.208287354,-0.754242897,-1.080019951,5.545433998,0
4.451708792,11.80490158,-1.680854645,-0.827479248,-0.3319123983,-1.121935725,5.178552151,0
4.461660792,10.57805283,-0.220790863,-0.7911048889,-0.1176577806,-1.075026155,5.012742996,0
4.471612792,8.289312286,0.9687854004,-1.242117004,-0.1395920962,-0.9277790785,5.09941721,0
4.481565792,5.668861542,2.412084045,-1.500479736,-0.2641893327,-0.6697405577,5.317219734,0
4.491517792,3.989503784,4.940925293,-0.6869215393,-0.3317153752,-0.1865232736,5.460361958,0
4.501469792,4.116589508,8.268655243,1.016236725,-0.2482958734,0.3560516834,5.360097885,0
4.511421792,5.353018341,12.27028381,2.941533051,0.05016457289,0.7297586799,4.916136265,0
4.521374792,6.779851227,17.09520035,4.969216461,0.4463641047,0.9707244039,4.339360714,0
4.531326792,6.522236938,22.7254422,6.401138763,0.8472582102,1.187358141,3.901801586,0
4.541278792,4.954846344,29.3503656,7.348368988,1.333151698,1.508956194,3.272660255,0
4.551230792,6.120322723,36.66999435,8.941056976,1.915475249,1.898087382,2.192856789,0
4.561183792,9.53966217,42.92174377,10.27104126,2.514237404,2.183295727,0.8842254877,0
4.571135792,12.29767685,47.9219458,10.20323227,3.044807196,2.191810131,-0.6206703782,0
4.581087792,14.7109584,50.12506439,8.637937317,3.240609169,1.908975363,-2.253879309,0
4.591039917,16.44734756,48.03511047,5.00918335,2.794953585,1.627030253,-3.646444559,0
4.600992917,15.30237854,43.72811691,-0.3165916443,1.802039027,1.477290988,-4.416023731,0
4.610944917,12.18960159,39.45674927,-4.479884033,0.8285524249,1.470340371,-4.661472321,0
4.620896917,10.76411591,36.13545593,-4.906347198,0.4156009853,1.50763166,-4.808850288,0
4.630848917,13.0016629,33.6953801,-2.33200058,0.6129680872,1.364954472,-5.101938248,0
4.640801917,17.61970963,31.86319016,0.5077441406,1.21208024,1.070421696,-5.615742683,0
4.650753917,22.72918442,29.33539673,2.110161896,1.867441058,0.7241156101,-6.152031422,0
4.660705917,26.00272705,25.58719116,1.711241455,2.182916164,0.3563601077,-6.557674885,0
4.670657917,26.61570236,21.48616928,-0.6900650024,2.054753304,-0.01507497765,-6.793599129,0
4.680610917,25.76936234,17.23066864,-3.544628906,1.582913041,-0.3870379031,-6.837994576,0
4.690562917,24.2661882,12.70018982,-5.448669434,0.9310642481,-0.6484804749,-6.702980995,0
4.700514917,22.48743713,8.070467377,-6.271957397,0.3069938123,-0.7422218919,-6.425756454,0
